timestamp,elapsed_s,shoulder_pan_deg,shoulder_lift_deg,elbow_flex_deg,wrist_flex_deg,wrist_roll_deg,gripper_deg
2026-07-22 11:43:00.861,0.004,176.13,179.91,180.44,177.89,174.46,172.44
2026-07-22 11:43:00.861,0.043,176.13,179.91,180.44,177.89,174.46,172.44
2026-07-22 11:43:00.861,0.084,176.13,179.91,180.44,177.89,174.46,172.44
2026-07-22 11:43:00.861,0.121,176.13,179.91,180.44,177.89,174.46,172.44
2026-07-22 11:43:00.861,0.158,176.13,179.91,180.44,177.89,174.46,172.44
2026-07-22 11:43:00.861,0.229,176.13,179.91,180.44,177.89,174.46,0.00
2026-07-22 11:43:00.861,0.266,176.13,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.299,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.333,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.366,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.399,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.432,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.466,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.499,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.532,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.566,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.599,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.633,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.667,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.700,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.733,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.767,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.800,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.834,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.867,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.900,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.934,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,0.967,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.001,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.034,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.068,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.102,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.135,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.169,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.202,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.236,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.269,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.303,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.336,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.370,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.403,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.437,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.861,1.471,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.504,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.538,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.571,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.605,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.639,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.672,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.706,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.739,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.773,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.806,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.840,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.873,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.907,0.00,0.00,0.00,0.00,0.00,0.00
2026-07-22 11:43:00.862,1.942,0.00,0.00,0.00,0.00,0.00,0.00
